Date : 2021-11-30 21:11:32
Directory : d:\UnityProjects\ToTheOtherSide
Total : 392 files,  74862 codes, 2402 comments, 5009 blanks, all 82273 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\パス 3+053b3.png.json                                                 | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\出撃+57089.png.json                                                   | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\合体 5+f1a29.png.json                                                 | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\多角形 1+437c2.png.json                                                | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\進化+82977.png.json                                                   | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\長方形 10+38100.png.json                                               | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\長方形 11+40da2.png.json                                               | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\長方形 12+17001.png.json                                               | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\長方形 13+9c80c.png.json                                               | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\長方形 13+a8fdc.png.json                                               | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\長方形 14+5c00c.png.json                                               | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\RawDatas\StockPanel\長方形 8+f4a28.png.json                                                | JSON      |          3 |          0 |          0 |          3 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\CreatedSprites\CharacterMod\ImageHashMap-cache.json                           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\CreatedSprites\CharacterMod\ImagePathMap-cache.json                           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\CreatedSprites\IslandInfoPanel\ImageHashMap-cache.json                        | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\CreatedSprites\IslandInfoPanel\ImagePathMap-cache.json                        | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\CreatedSprites\MainPanel\ImageHashMap-cache.json                              | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\CreatedSprites\MainPanel\ImagePathMap-cache.json                              | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\CreatedSprites\StockPanel\ImageHashMap-cache.json                             | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\CreatedSprites\StockPanel\ImagePathMap-cache.json                             | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\EditorUtil.cs                                         | C#        |        168 |         30 |         27 |        225 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\ElementFactory.cs                                     | C#        |         39 |          5 |          5 |         49 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\ButtonElement.cs                             | C#        |         75 |         14 |         14 |        103 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\Element.cs                                   | C#        |         55 |         23 |         13 |         91 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\ElementUtil.cs                               | C#        |        636 |         63 |        106 |        805 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\GroupElement.cs                              | C#        |        110 |          8 |         11 |        129 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\ImageElement.cs                              | C#        |         64 |          7 |         12 |         83 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\InputElement.cs                              | C#        |         35 |          4 |          8 |         47 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\InstanceElement.cs                           | C#        |         56 |         23 |          8 |         87 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\MaskElement.cs                               | C#        |         10 |          4 |          1 |         15 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\RectElement.cs                               | C#        |         19 |          4 |          3 |         26 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\ScrollbarElement.cs                          | C#        |         67 |          7 |         10 |         84 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\SliderElement.cs                             | C#        |         62 |          5 |         10 |         77 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\TextElement.cs                               | C#        |        113 |          7 |         21 |        141 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\TextMeshProElement.cs                        | C#        |         81 |         13 |         17 |        111 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\ToggleElement.cs                             | C#        |         66 |         11 |         13 |         90 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Elements\ViewportElement.cs                           | C#        |         73 |          9 |         13 |         95 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Importer.cs                                           | C#        |        350 |        137 |         76 |        563 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\JsonExtensions.cs                                     | C#        |         55 |          0 |         19 |         74 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Libraries\MiniJSON\MiniJSON.cs                        | C#        |        400 |         96 |         76 |        572 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Libraries\OnionRing\OnionRing.cs                      | C#        |        184 |          0 |         30 |        214 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\Postprocessor.cs                                      | C#        |          6 |          0 |          0 |          6 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\PrefabCreator.cs                                      | C#        |         98 |         15 |         16 |        129 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\PreprocessTexture.cs                                  | C#        |         41 |         16 |          4 |         61 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\RenderContext.cs                                      | C#        |        207 |         32 |         39 |        278 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Importer\Scripts\Editor\TextureUtil.cs                                        | C#        |        315 |         88 |         61 |        464 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\BarSample\ImageHashMap-cache.json                             | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\BarSample\ImagePathMap-cache.json                             | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ButtonSwapSpriteSample\ImageHashMap-cache.json                | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ButtonSwapSpriteSample\ImagePathMap-cache.json                | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ComponentToPrefabSample\ImageHashMap-cache.json               | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ComponentToPrefabSample\ImagePathMap-cache.json               | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\GameSample\ImageHashMap-cache.json                            | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\GameSample\ImagePathMap-cache.json                            | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\GridScrollSample\ImageHashMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\GridScrollSample\ImagePathMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ImageSample\ImageHashMap-cache.json                           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ImageSample\ImagePathMap-cache.json                           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\InputFieldSample\ImageHashMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\InputFieldSample\ImagePathMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\LayoutRepeatGridSample\ImageHashMap-cache.json                | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\LayoutRepeatGridSample\ImagePathMap-cache.json                | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\Main\ImageHashMap-cache.json                                  | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\Main\ImagePathMap-cache.json                                  | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\MaskSample2\ImageHashMap-cache.json                           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\MaskSample2\ImagePathMap-cache.json                           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\MaskSample\ImageHashMap-cache.json                            | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\MaskSample\ImagePathMap-cache.json                            | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\PaddingSample2\ImageHashMap-cache.json                        | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\PaddingSample2\ImagePathMap-cache.json                        | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\PaddingSample\ImageHashMap-cache.json                         | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\PaddingSample\ImagePathMap-cache.json                         | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\PinnablelScrollGroupsTest\ImageHashMap-cache.json             | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\PinnablelScrollGroupsTest\ImagePathMap-cache.json             | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\RadioSample\ImageHashMap-cache.json                           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\RadioSample\ImagePathMap-cache.json                           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\RepeatGridSample\ImageHashMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\RepeatGridSample\ImagePathMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\RepeatGridScrollSample\ImageHashMap-cache.json                | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\RepeatGridScrollSample\ImagePathMap-cache.json                | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ResizableScrollGroupsSample\ImageHashMap-cache.json           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ResizableScrollGroupsSample\ImagePathMap-cache.json           | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ResponsiveSample\ImageHashMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ResponsiveSample\ImagePathMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ScrollGroupMaskTest\ImageHashMap-cache.json                   | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ScrollGroupMaskTest\ImagePathMap-cache.json                   | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ScrollGroupsSample\ImageHashMap-cache.json                    | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ScrollGroupsSample\ImagePathMap-cache.json                    | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ScrollMaskSample2\ImageHashMap-cache.json                     | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ScrollMaskSample2\ImagePathMap-cache.json                     | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ScrollMaskSample\ImageHashMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ScrollMaskSample\ImagePathMap-cache.json                      | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ToggleSample\ImageHashMap-cache.json                          | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ToggleSample\ImagePathMap-cache.json                          | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ToggleSwapSpriteSample\ImageHashMap-cache.json                | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\ToggleSwapSpriteSample\ImagePathMap-cache.json                | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\VerticalHorizontalScrollSample\ImageHashMap-cache.json        | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\VerticalHorizontalScrollSample\ImagePathMap-cache.json        | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\VerticalStackSample2\ImageHashMap-cache.json                  | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\VerticalStackSample2\ImagePathMap-cache.json                  | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\VerticalStackSample\ImageHashMap-cache.json                   | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Samples\Sprites\VerticalStackSample\ImagePathMap-cache.json                   | JSON      |          1 |          0 |          0 |          1 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Scripts\Runtime\CoverImage.cs                                                 | C#        |         53 |          0 |          8 |         61 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Scripts\Runtime\DotsScrollbar.cs                                              | C#        |        197 |          8 |         37 |        242 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Scripts\Runtime\ScrollRectEx.cs                                               | C#        |         44 |         12 |          6 |         62 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Scripts\Runtime\ToggleGraphicSwap.cs                                          | C#        |         25 |          3 |          5 |         33 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Scripts\Runtime\ToggleToRadio.cs                                              | C#        |         46 |         12 |         11 |         69 |
| d:\UnityProjects\ToTheOtherSide\Assets\I0plus\XuidUnity\Scripts\Runtime\XdGuid.cs                                                     | C#        |          8 |          0 |          1 |          9 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs                                        | C#        |         98 |         80 |         25 |        203 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs                                   | C#        |        121 |          0 |         22 |        143 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs                                      | C#        |        137 |         60 |         20 |        217 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs                                    | C#        |        125 |         51 |         18 |        194 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs                                       | C#        |         63 |         17 |         14 |         94 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs                                           | C#        |        390 |        201 |         70 |        661 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs                                 | C#        |        264 |         99 |         41 |        404 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs                                        | C#        |        123 |         27 |         18 |        168 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Attributes.xml                                | XML       |      5,475 |          0 |        257 |      5,732 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Editor.xml                                    | XML       |     10,829 |          0 |        112 |     10,941 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Assemblies\Sirenix.Serialization.Config.xml                                    | XML       |        202 |          0 |          1 |        203 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Assemblies\Sirenix.Serialization.xml                                           | XML       |      9,559 |          0 |          7 |      9,566 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.Editor.xml                                        | XML       |      7,775 |          0 |         14 |      7,789 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.xml                                               | XML       |      3,655 |          0 |          4 |      3,659 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Assemblies\link.xml                                                            | XML       |          6 |          0 |          0 |          6 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Mathematics\MathematicsDrawers.cs                 | C#        |        744 |         29 |        110 |        883 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\AssemblyImportSettingsAutomation.cs              | C#        |        105 |          5 |         24 |        134 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\BuildAOTAutomation.cs                            | C#        |         58 |          5 |         16 |         79 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\EnsureOdinInspectorDefine.cs                     | C#        |         40 |         69 |         12 |        121 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\FixBrokenUnityObjectWrapperDrawer.cs             | C#        |        175 |          5 |         28 |        208 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\SyncListDrawer.cs                                | C#        |         66 |         11 |         11 |         88 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\SyncVarAttributeDrawer.cs                        | C#        |         26 |         11 |          5 |         42 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\Vector2IntMinMaxAttributeDrawer.cs               | C#        |         48 |         17 |          8 |         73 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\VectorIntDrawers.cs                              | C#        |        102 |         23 |         16 |        141 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\VectorIntPropertyResolvers.cs                    | C#        |         44 |          5 |          5 |         54 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\SerializedNetworkBehaviour.cs                           | C#        |         40 |         15 |         12 |         67 |
| d:\UnityProjects\ToTheOtherSide\Assets\Plugins\Sirenix\Odin Inspector\Scripts\VectorIntFormatters.cs                                  | C#        |         38 |         33 |          9 |         80 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\ArmBotData.cs                                                                   | C#        |         94 |         22 |         31 |        147 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\BodyParts.cs                                                                    | C#        |          8 |          0 |          0 |          8 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\BotStatusList.cs                                                                | C#        |         53 |          2 |          8 |         63 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\BotType.cs                                                                      | C#        |          8 |          0 |          0 |          8 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\EquipmentHolder.cs                                                              | C#        |         63 |          0 |         14 |         77 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\InventoryData.cs                                                                | C#        |         21 |          0 |          3 |         24 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\ItemStorage.cs                                                                  | C#        |          5 |          0 |          1 |          6 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\MOTHERData.cs                                                                   | C#        |         30 |          0 |          9 |         39 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\Modifier\BotModifier.cs                                                         | C#        |          6 |          0 |          1 |          7 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\Modifier\EquipmentBehaviour.cs                                                  | C#        |         22 |          2 |          3 |         27 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\SearcherData.cs                                                                 | C#        |         45 |          3 |         10 |         58 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\StatusType.cs                                                                   | C#        |         12 |          1 |          0 |         13 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\ArmBot\VisualData.cs                                                                   | C#        |          7 |          3 |          2 |         12 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Configs\SessionConfig.cs                                                               | C#        |         27 |          5 |          7 |         39 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Configs\StepGenerationConfig.cs                                                        | C#        |        139 |         13 |         50 |        202 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\DataIndexer.cs                                                                   | C#        |         59 |          0 |          8 |         67 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\DataManager.cs                                                                   | C#        |         41 |         22 |         11 |         74 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\IPermanentData.cs                                                                | C#        |          4 |          2 |          0 |          6 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\ISalvageData.cs                                                                  | C#        |          3 |          1 |          0 |          4 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\LabeledData.cs                                                                   | C#        |         18 |          0 |          3 |         21 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\SDataValuable.cs                                                                 | C#        |          4 |          1 |          1 |          6 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\SalvageValuable.cs                                                               | C#        |         24 |          1 |          2 |         27 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Sector\EnvironmentAttribute.cs                                                   | C#        |          9 |          1 |          1 |         11 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Sector\ExploreData.cs                                                            | C#        |        121 |          1 |         21 |        143 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Sector\SessionDataSaver.cs                                                       | C#        |         58 |          0 |         16 |         74 |
| d:\UnityProjects\ToTheOtherSide\Assets\Scripts\Datas\Sector\StepState.cs                                                              | C#        |          9 |          0 |          0 |          9 |
